"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:11.26","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.27","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.28","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.29","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.30","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.31","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.32","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.33","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.34","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.35","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.36","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.37","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.38","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.39","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.40","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.41","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.42","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.43","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.44","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.45","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.46","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.47","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.48","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.49","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.50","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.51","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.52","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.53","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.54","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.55","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.56","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.57","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.58","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.59","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.60","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.61","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.62","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
